Artist,Year,Popularity
Angie Stone,2001,47.0
Angie Stone,2005,17.5
Angie Stone,2010,5.0
Angie Stone,2012,23.0
Angus Maude,2017,0.0
Animal Picnic,2018,31.0
Animate Objects,2008,16.0
Animist,2019,0.0
Animotion,1996,30.0
Anirudh Ravichander,2017,44.0
Anita Baker,1986,61.0
Anitta,2017,71.5
Anitta,2019,72.33333333333333
Anja Kotar,2019,37.0
Anju,2020,35.0
Ann Marie,2019,64.0
Ann Peebles,1974,41.0
Anna Carina,2019,54.0
Anna Clendening,2018,69.0
Anna Margaret,2010,40.25
Anna of the North,2014,53.0
Anna of the North,2017,59.0
Anna of the North,2019,54.0
Annalisa,2019,65.0
Anne Clark,1987,37.0
Anne Clark,2010,16.5
Anne-Marie,2016,65.0
Anne-Marie,2017,64.0
Anne-Marie,2018,83.0
Annella,2017,45.0
Annella,2018,41.5
Annella,2019,44.0
Annie Lux,2018,33.0
Annika Grace,2019,29.0
Anomalie,2017,38.0
Anomalie,2018,36.0
Anonimus,2020,44.0
Anonym,2017,38.0
Anonymuz,2017,32.0
Anonymuz,2018,27.0
Anonymuz,2019,43.0
Another Bad Creation,1991,32.0
Another Bad Creation,1993,20.0
Another Lost Year,2017,28.0
Ansel Elgort,2017,68.0
Anson Seabra,2019,68.0
Ansvh,2019,15.5
Ant Saunders,2019,67.4
Anthem Academy,2015,0.0
Anthony Dircson,2018,24.0
Anthony Dircson,2019,40.0
Anthony Hamilton,2003,48.8
Anthony Hamilton,2005,33.5
Anthony Hamilton,2006,44.0
Anthony Hamilton,2007,16.0
Anthony Hamilton,2008,37.0
Anthony Hamilton,2010,9.0
Anthony Hamilton,2011,31.5
Anthony Phillips,2014,28.0
Anthony Ramos,2019,43.0
Anti Lilly,2017,49.0
Anti Up,2018,46.0
Anti-Flag,2019,54.0
Anti-Flag,2020,53.0
Anti-Lilly & Phoniks,2014,45.5
Antoine Delvig,2019,31.0
Antoine Malye,2014,1.0
Antoine Villoutreix,2019,36.0
Antonio Cooke,2019,27.0
Antonio Garcia Isaac,2019,38.0
Antonio José,2019,69.0
Antonio Neal,2005,4.0
Antonio Neal,2006,4.0
Antranig,2019,6.0
Antwillz,2019,30.0
Anuel AA,2016,74.0
Anuel AA,2017,64.0
Anuel AA,2018,38.42857142857143
Anuel AA,2019,87.45454545454545
Any Given Sin,2019,50.0
Any Victoria,2013,16.0
Anything Box,1990,23.5
Anything Box,2018,0.0
Aoife O'Donovan,2016,4.0
Apache,2015,50.0
Apache 207,2019,80.0
Apashe,2018,55.0
Ape Drums,2014,35.0
Aphex Twin,2018,35.0
Apollo Brown,2018,0.0
Apollo LTD,2017,0.0
Apollo LTD,2018,0.0
Apollo LTD,2019,35.0
Apparel Wax,2018,34.0
Appyday,2018,30.0
April,2001,0.0
April Wine,1981,47.0
Aqua,1997,43.0
Aqua,2009,1.75
Aquagirl,2019,57.0
Aquariuz,2019,13.0
Aquilo,2015,39.0
Aquilo,2016,5.0
